0.17,7.04,9.00,0.26,0.13,0.02,15.1
0.39,6.18,6.59,0.24,-0.12,0.22,15.2
1.56,5.70,7.02,-0.34,-0.03,0.16,15.3
0.76,6.32,7.53,0.17,0.30,0.02,15.4
0.08,6.74,7.15,0.26,0.08,-0.08,15.5
0.46,6.51,7.33,-0.04,0.04,0.04,15.6
0.50,6.40,7.34,-0.07,-0.02,-0.01,15.7
0.37,6.49,7.50,-0.05,-0.04,-0.02,15.8
0.47,6.45,7.51,0.01,-0.01,-0.02,15.9
0.55,6.36,7.51,-0.04,0.01,-0.03,16
0.20,6.35,7.30,-0.01,0.01,-0.06,16.1
0.27,6.49,7.46,0.03,0.04,-0.02,16.2
0.07,6.57,7.43,0.11,0.09,-0.01,16.3
0.19,6.52,7.30,0.05,0.09,0.04,16.4
0.18,6.72,7.17,-0.09,0.06,0.00,16.5
-0.24,6.06,7.69,-0.15,0.07,-0.01,16.6
-0.02,6.20,7.41,-0.11,0.14,0.02,16.7
0.13,6.07,6.98,-0.10,0.08,0.05,16.8
-0.29,5.93,7.46,-0.36,0.29,0.01,16.9
-1.06,4.39,8.63,-1.24,0.29,-0.05,17
-1.01,3.64,10.94,-1.76,-0.10,-0.13,17.1
0.25,3.31,9.55,0.37,-0.07,-0.03,17.2
-0.26,4.23,8.27,0.87,-0.10,-0.37,17.3
-0.80,5.04,8.75,0.90,-0.39,-0.47,17.4
0.03,5.50,8.96,0.19,-0.23,-0.03,17.5
-0.93,5.87,7.40,0.51,0.62,0.06,17.6
-1.71,5.99,7.58,0.23,0.80,0.08,17.7
-1.02,5.90,8.93,0.11,0.72,0.32,17.8
-1.30,5.48,6.96,0.00,0.48,0.11,17.9
-1.63,5.47,7.94,-0.45,-0.39,-0.11,18
-1.27,5.13,9.18,-0.26,-0.38,0.01,18.1
-1.11,5.39,7.86,0.29,0.06,0.00,18.2
-1.22,5.38,8.25,-0.06,0.11,-0.01,18.3
-1.34,5.28,8.33,0.02,0.24,0.01,18.4
-1.73,5.45,7.62,0.14,0.22,-0.02,18.5
-1.56,5.44,7.93,-0.04,0.04,0.00,18.6
-1.59,5.29,8.37,-0.07,-0.01,0.00,18.7
-1.78,5.46,7.84,0.08,-0.01,-0.03,18.8
-1.49,5.28,8.49,-0.14,-0.26,0.04,18.9
-0.45,5.10,8.44,-0.02,-0.63,0.07,19
-1.06,5.58,7.46,0.48,-0.10,-0.18,19.1
-1.86,6.32,8.03,0.44,0.06,-0.08,19.2
-0.56,5.86,7.65,-0.02,-0.38,0.12,19.3
-0.11,5.72,7.79,-0.37,-0.62,0.00,19.4
0.09,5.61,8.49,-0.10,-0.40,-0.01,19.5
0.16,5.63,8.73,0.18,-0.02,0.02,19.6
0.63,5.69,7.27,0.19,-0.26,-0.01,19.7
0.15,5.64,7.70,-0.12,-0.16,-0.16,19.8
0.50,5.71,7.96,-0.06,-0.22,-0.07,19.9
-0.23,5.80,8.23,0.19,-0.02,-0.05,20
0.56,6.27,7.25,0.34,0.07,0.02,20.1
0.52,6.05,7.17,0.10,0.10,-0.07,20.2
0.19,6.20,8.04,-0.05,0.05,-0.20,20.3
0.23,6.08,7.91,0.16,0.29,-0.06,20.4
-0.32,6.32,8.03,0.47,0.84,-0.10,20.5
-1.38,6.95,7.04,0.41,0.23,-0.33,20.6
-1.35,7.01,7.08,0.17,-0.21,-0.18,20.7
-0.61,7.03,6.78,0.11,-0.11,0.06,20.8
-0.21,6.78,7.07,-0.01,-0.26,0.06,20.9
-0.87,7.29,6.37,0.12,0.09,-0.07,21
-0.52,6.97,7.49,-0.20,-0.12,0.03,21.1
-0.88,7.16,7.41,0.07,-0.11,-0.04,21.2
-1.05,7.16,8.17,-0.22,-0.66,-0.01,21.3
1.53,6.08,9.37,0.17,-0.42,0.29,21.4
1.22,7.28,5.62,0.11,-0.34,0.09,21.5
1.23,8.02,5.25,0.22,-0.33,-0.20,21.6
1.19,7.40,6.64,0.15,-0.12,-0.09,21.7
1.25,7.03,6.42,0.05,-0.09,-0.07,21.8
0.55,7.75,5.28,0.27,0.22,-0.31,21.9
0.12,8.91,4.02,0.06,-0.07,-0.24,22
-1.01,8.76,4.30,-0.16,0.60,0.09,22.1
-1.62,6.77,4.66,0.29,1.86,0.37,22.2
-0.70,5.66,9.05,-0.75,0.67,0.21,22.3
-1.76,7.17,7.65,-0.28,0.42,-0.18,22.4
-0.05,6.08,8.79,-1.08,-0.41,0.28,22.5
-0.01,5.91,7.25,0.51,0.34,0.22,22.6
0.07,6.59,5.65,-0.12,0.04,-0.13,22.7
-1.04,6.63,8.12,-0.38,-0.06,0.08,22.8
-1.56,6.40,7.53,0.02,0.08,0.11,22.9
-0.90,6.44,7.17,-0.03,0.13,0.10,23
-0.88,6.39,7.28,-0.11,0.16,0.07,23.1
-1.77,6.24,7.49,-0.12,0.14,-0.04,23.2
-1.01,6.16,7.45,-0.07,0.06,0.15,23.3
-1.05,6.12,7.13,-0.05,0.01,0.08,23.4
-1.33,6.12,7.63,-0.03,-0.07,-0.07,23.5
-1.18,6.30,6.79,0.15,-0.06,-0.04,23.6
-1.19,6.15,7.49,-0.09,-0.16,0.00,23.7
-1.01,6.32,7.22,0.01,-0.12,0.04,23.8
-0.83,6.41,6.75,-0.02,-0.07,-0.06,23.9
-0.81,5.42,6.62,-0.33,-0.50,-0.19,24
-1.27,4.83,7.29,-1.17,-0.63,-0.07,24.1
1.02,4.16,8.87,-1.43,0.33,0.66,24.2
0.58,2.34,10.92,-0.39,0.10,0.29,24.3
0.15,4.77,9.78,0.49,-0.41,-0.26,24.4
1.65,4.81,7.31,0.98,-0.04,0.10,24.5
-0.34,5.42,8.56,0.38,0.34,-0.25,24.6
1.71,5.11,8.04,0.12,-0.14,0.22,24.7
0.58,5.12,9.26,0.11,0.17,-0.17,24.8
0.26,5.15,7.65,-0.07,-0.04,-0.40,24.9
0.04,5.70,7.77,0.21,-0.05,-0.05,25
-0.12,5.76,7.67,0.11,0.01,0.14,25.1
0.38,5.27,7.81,0.02,-0.04,0.06,25.2
-0.65,5.75,8.06,-0.02,-0.14,0.00,25.3
0.76,5.43,7.84,-0.06,-0.09,0.49,25.4
1.51,5.22,7.49,-0.04,0.02,0.36,25.5
